rows; comlumns; obective; gap; time
585; 2300; 34.00; 0.00; 6.62
126; 1194; 126.00; 0.00; 0.72
72; 2440; 12.00; 0.00; 0.36
180; 926; 180.00; 0.00; 3.27
60; 2464; 60.00; 0.00; 1.33
823; 8904; 56137.00; 0.00; 9.17
531; 5198; 30494.00; 0.00; 0.20
825; 8627; 49649.00; 0.00; 1.42
426; 7195; 26371.54; 0.01; 12.08
801; 8308; 53839.00; 0.00; 1.38
646; 7292; 27040.00; 0.00; 1.01
55; 7479; 1086.00; 0.00; 0.24
71; 36699; 219.00; 0.00; 2.55
135; 51975; 114852.00; 0.00; 1.14
145; 87879; 105444.00; 0.00; 0.97
59; 43749; 24492.00; 0.00; 2.28
36; 87482; 16862.00; 0.00; 8.45
71; 288507; 132878.00; 0.00; 1.98
36; 5172; 5476.00; 0.00; 0.03
24; 434; 35894.00; 0.00; 0.02
40; 3103; 67760.00; 0.00; 0.03
24; 853; 68271.00; 0.00; 0.03
39; 8820; 116254.50; 0.01; 0.06
27; 626; 14118.00; 0.00; 0.03
51; 16043; 50146.00; 0.00; 0.16
73; 123409; 61844.00; 0.00; 0.70
31; 467; 67743.00; 0.00; 0.02
139; 148633; 1181590.00; 0.00; 6.26
61; 118607; 11115.00; 0.00; 3.75
124; 10757; 340160.00; 0.00; 0.39
40; 2879; 10898.00; 0.00; 0.03
22; 685; 16812.00; 0.00; 0.03
25; 577; 7408.00; 0.00; 0.03
23; 619; 6984.00; 0.00; 0.02
19; 711; 12534.00; 0.00; 0.03
19; 1366; 6314.00; 0.00; 0.03
20; 1217; 5960.00; 0.00; 0.03
23; 771; 6796.00; 0.00; 0.02
22; 1355; 9933.00; 0.00; 0.03
18; 1210; 8298.00; 0.00; 0.03
18; 2540; 4274.00; 0.00; 0.06
26; 2653; 3942.00; 0.00; 0.05
26; 2662; 8038.00; 0.00; 0.05
19; 294; 14877.00; 0.00; 0.03
23; 3068; 6678.00; 0.00; 0.05
20; 899; 10488.00; 0.00; 0.05
23; 1709; 7216.00; 0.00; 0.03
20; 1783; 7314.00; 0.00; 0.06
19; 770; 10068.00; 0.00; 0.03
23; 1220; 5558.00; 0.00; 0.03
25; 677; 10080.00; 0.00; 0.03
19; 404; 10809.00; 0.00; 0.02
17; 197; 11307.00; 0.00; 0.02
23; 1079; 7656.00; 0.00; 0.03
18; 1072; 8904.00; 0.00; 0.03
145; 1053137; 9963.07; 10.83; 1208.92
100; 13635; 5965.00; 0.00; 0.24
77; 85552; 5338.00; 0.00; 1.58
163; 28016; 17854.00; 0.00; 1.00
